pdf_url,viewer_url
http://ndl.iitkgp.ac.in/serveFile/jk_board/6029503e06568b56f3685adb,http://ndl.iitkgp.ac.in/se_document/jk_board/123456789_JKB/13227?e=0|*|||
http://ndl.iitkgp.ac.in/serveFile/jk_board/60294f8a4fa1fe179667808b,http://ndl.iitkgp.ac.in/se_document/jk_board/123456789_JKB/13882?e=1|*|||
http://ndl.iitkgp.ac.in/serveFile/jk_board/60294fa20620687660777814,http://ndl.iitkgp.ac.in/se_document/jk_board/123456789_JKB/14016?e=2|*|||
http://ndl.iitkgp.ac.in/serveFile/jk_board/60294fdf6c98c0511832a57a,http://ndl.iitkgp.ac.in/se_document/jk_board/123456789_JKB/14124?e=3|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class1%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990096?e=4|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class1-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990098?e=5|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class2%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990100?e=6|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class2-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990102?e=7|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class3%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990105?e=8|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class3-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990108?e=9|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class4%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990111?e=10|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class4-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990114?e=11|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class5%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990119?e=12|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class5-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990122?e=13|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class6%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990128?e=14|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class6-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990130?e=15|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class7%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990137?e=16|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class7-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990139?e=17|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class8%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990151?e=18|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class8-Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990152?e=19|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class9%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990159?e=0|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class9%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990160?e=1|*|||
https://scert.cg.gov.in/pdf/textbook-EM-2021-22/Class10%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990165?e=2|*|||
https://scert.cg.gov.in/pdf/textbook-2021-22/Class10%20-%20Maths-reduced.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990166?e=3|*|||
https://scert.cg.gov.in/pdf/question-bank-with-learning-indicator/Class-3.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990497?e=4|*|||
https://scert.cg.gov.in/pdf/question-bank-with-learning-indicator/Class-4.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990498?e=5|*|||
https://scert.cg.gov.in/pdf/question-bank-with-learning-indicator/Class-5.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990499?e=6|*|||
https://scert.cg.gov.in/pdf/question-bank-with-learning-indicator/Maths-6-7-8.pdf,http://ndl.iitkgp.ac.in/se_document/scert_cg/123456789_scertchhattisgarh/990504?e=7|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_tr/60c9d8bf9b085009d62b1527,http://ndl.iitkgp.ac.in/se_document/scert_tr/123456789_scerttripura/18951?e=14|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_tr/60c9d8ea03d51d1157497b7e,http://ndl.iitkgp.ac.in/se_document/scert_tr/123456789_scerttripura/18952?e=15|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_tr/60c9d8d4c87659525905d4e7,http://ndl.iitkgp.ac.in/se_document/scert_tr/123456789_scerttripura/19026?e=16|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_tr/60c9d8abc4b1e41d8c18c26d,http://ndl.iitkgp.ac.in/se_document/scert_tr/123456789_scerttripura/19036?e=17|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_tr/60c9d8941bc3d2130929414d,http://ndl.iitkgp.ac.in/se_document/scert_tr/123456789_scerttripura/19056?e=18|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603172e199e6ae6d123a5dc8,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/11627?e=19|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603173609882a14b0f6ca460,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/11637?e=0|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174a12e62203ee602a20e,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12036?e=1|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/6031741f55c5594eb277b8ba,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12079?e=2|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/6031743bd3558317151a1b94,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12498?e=3|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174c4af94646d561e9570,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12500?e=4|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174bc06dc8d34d7237a06,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12531?e=5|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/60317436004fcc7e4e5a9c31,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12533?e=6|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174e979c5973da03e956d,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12567?e=7|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174c01a67dd303c3f68fd,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12655?e=8|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603172fc31a1001a6d721fa7,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12656?e=9|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/6031742059284d4d97125852,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12732?e=10|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/60317503deca69777b3d7da5,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12750?e=11|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/603174c22d59521605022b3f,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12777?e=12|*|||
http://ndl.iitkgp.ac.in/serveFile/scert_ts/60317461dd15e9092c1e17cc,http://ndl.iitkgp.ac.in/se_document/scert_ts/123456789_telb/12806?e=13|*|||
