,pdf_url,save_path
0,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-A.pdf,../questions/cgbse/123456789_sbchhattisgarh_988733.pdf
1,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-B.PDF,../questions/cgbse/123456789_sbchhattisgarh_988734.pdf
2,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-C.PDF,../questions/cgbse/123456789_sbchhattisgarh_988735.pdf
3,https://cgbse.nic.in/QuestionPaper/Hr2020/410-A.pdf,../questions/cgbse/123456789_sbchhattisgarh_988745.pdf
4,https://cgbse.nic.in/QuestionPaper/Hr2020/410-B.PDF,../questions/cgbse/123456789_sbchhattisgarh_988746.pdf
5,https://cgbse.nic.in/QuestionPaper/Hr2020/410-C.PDF,../questions/cgbse/123456789_sbchhattisgarh_988747.pdf
6,https://cgbse.nic.in/Documents/2021/assignment/10th/Feb-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988780.pdf
7,https://cgbse.nic.in/Documents/2021/assignment/10th/Jan-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988785.pdf
8,https://cgbse.nic.in/Documents/2020/assignment/10th/Dec-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988790.pdf
9,https://cgbse.nic.in/Documents/2020/assignment/10th/Nov-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988795.pdf
10,https://cgbse.nic.in/Documents/2020/assignment/10th/Oct-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988800.pdf
11,https://cgbse.nic.in/Documents/2020/assignment/10th/Sep-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988805.pdf
12,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Feb.pdf,../questions/cgbse/123456789_sbchhattisgarh_988815.pdf
13,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Jan.pdf,../questions/cgbse/123456789_sbchhattisgarh_988829.pdf
14,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Dec.pdf,../questions/cgbse/123456789_sbchhattisgarh_988843.pdf
15,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Nov.pdf,../questions/cgbse/123456789_sbchhattisgarh_988857.pdf
16,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Oct.pdf,../questions/cgbse/123456789_sbchhattisgarh_988871.pdf
17,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Sep.pdf,../questions/cgbse/123456789_sbchhattisgarh_988885.pdf
18,https://cgbse.nic.in/Documents/2021/assignment/10th/Sep-Mat1.pdf,../questions/cgbse/123456789_sbchhattisgarh_988894.pdf
19,https://cgbse.nic.in/Documents/2021/assignment/10th/Sep-Mat.pdf,../questions/cgbse/123456789_sbchhattisgarh_988899.pdf
20,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Sep1.pdf,../questions/cgbse/123456789_sbchhattisgarh_988909.pdf
21,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Sep.pdf,../questions/cgbse/123456789_sbchhattisgarh_988923.pdf
22,https://cgbse.nic.in/Documents/MQP/qp12/2019/410.pdf,../questions/cgbse/123456789_sbchhattisgarh_988983.pdf
23,https://cgbse.nic.in/Documents/MQP/qp12/204-Set-B.pdf,../questions/cgbse/123456789_sbchhattisgarh_989001.pdf
24,https://cgbse.nic.in/Documents/MQP/qp12/204-Set-C.pdf,../questions/cgbse/123456789_sbchhattisgarh_989002.pdf
25,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS-1%20-%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990254.pdf
26,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-2%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990255.pdf
27,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-3%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990256.pdf
28,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-4%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990257.pdf
29,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-%205%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990258.pdf
30,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS-6%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990259.pdf
31,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS-7%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990260.pdf
32,https://scert.cg.gov.in/pdf/sla2019-20/FA1-201920-ALL/Maths/MATHS%20CLASS%20-%208%20FA.pdf,../questions/scert_cg/123456789_scertchhattisgarh_990261.pdf
