pdf_url,viewer_url
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603134c1ebf3ac0654307587,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/6610?e=4|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603134c93fc8e54dba5d5e17,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/6611?e=5|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603134d0a4b7eb1d384a49d7,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/6612?e=6|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313495bfc4e074d8163315,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/6613?e=7|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603134afdeca69777b3d7d67,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/7081?e=8|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313398156e186d3d3b9dc7,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/7984?e=9|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/6031339b2f6e272b8a03897b,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/8005?e=10|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313393560cd83c6c4f05d7,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/8006?e=11|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/6031339678f5386c00579d07,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/8008?e=12|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603133981ee1583c62362897,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/8009?e=13|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/615b8245ab8e2d564d217675,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/01_20190109_P1_Sh1_S2?e=14|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/638dc151cfc4fa68a60c109a,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/01_20200701_P1_Sh1?e=15|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca24e1631e4fbd2b0b3d31,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/01_JEE-Main_21_2402_P1_Shift-1_Q?e=16|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65c9d1113e030c36820fc867,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/01_JEE_Main_22_2406_P1_Q?e=17|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65dde93d3fca865668080084,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/01_JEE_Main_23_0604_P1_Shift_1_Q?e=18|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/615b82dc70027c26544cdb7f,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/02_20190109_P1_Sh2?e=19|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/638dc1b5f49ffb1fc307d6d1,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/02_20200701_P1_Sh2?e=0|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca2652ec3486780804edd9,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/02_JEE-Main_21_2402_P1_Shift-2_Q?e=1|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65c9d1024bf22ecdac0a6e50,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/02_JEE_Main_22_2406_P1_Q?e=2|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65dde920be894a337b010134,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/02_JEE_Main_23_0604_P1_Shift_2_Q?e=3|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/615b8229798f8f11f243e037,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/03_20190110_P1_Sh1?e=4|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca25d8ec3486780804eda3,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/03_20200801_P1_Sh1?e=5|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca24d6cf2f26ba950bb378,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/03_JEE-Main_21_2502_P1_Shift-1_Q?e=6|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65c9d0f62140b2835701d062,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/03_JEE_Main_22_2506_P1_Q?e=7|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65dde92b78164b530606a0a2,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/03_JEE_Main_23_0804_P1_Shift_1_Q?e=8|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/615b82608fb6d53ac9485199,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/04_20190110_P1_Sh1_S2?e=9|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca260dec3486780804edc7,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/04_20200801_P1_Sh2?e=10|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca24e2631e4fbd2b0b3d36,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/04_JEE-Main_21_2502_P1_Shift-2_Q?e=11|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/65c9d0d12140b2835701cf2a,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/04_JEE_Main_22_2506_P1_Q?e=12|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/615b825625f5d245853298cb,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/05_20190111_P1_Sh1?e=13|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca26142e1566942c09ccc3,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/05_20200901_P1_Sh1?e=14|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_main/64ca2627631e4fbd2b0b4179,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_main/123456789_iitjeemain/05_JEE-Main_21_2602_P1_Shift-1_Q?e=15|*|||
